Source Term	Target Term
buta-1,3-diene	butadieno
monomer unit	unidad monomérica
fluorocarbon	hidrocarburos fluorados
3-hydroxybutyric acid	ácido 3-hidroxibutírico
screening method	método de cribado
evaporator	evaporador
ultrasonic cleaning	limpieza ultrasónica
proteolysis	proteólisis
critical value of the net state variable	valor crítico de la variable de estado neto
permeate	filtrado
cyclin-dependent kinase	cinasa ciclinodependiente
in-house reproducibility	RSDWR
slag cement	cemento siderúrgico
semi-quantitative method	método semicuantitativo
chemical name	nombre químico
carbon tetrachloride	tetraclorometano
proton	protón
lignite wax	cera de lignito
barytes	sulfato bárico natural
tie resin	capa de unión
alkali	álcali
holoside	holosido
glycerol esters of condensed castor oil fatty acids	PGPR
cleavage	descomposición
phenylenediamine	fenilendiamina
vapour tension	tensión de vapor
condensative chain polymerisation	polimerización por condensación
SRM	control de la reacción seleccionada
full-scan diode array detection spectrophotometry	detección espectrofotométrica por red de diodos mediante barrido completo
shogaol	shogaol
phenol	fenol
filtration with continuous deposition	filtración por aluvionado continuo
by weight	porcentaje en peso
alpha-hydroxy acid	alfahidroxiácido
fabric filter	filtro de tela
soapstone	esteatita
syenite	sienita
β error	falso negativo
cracking	craqueo
calcium dichloride	E 509
hydrogen-2	deuterio
synthetic rubber	caucho sintético
mobile phase	fase móvil
IPC	cromatografía de pares iónicos
alkylation	alquilación
hydrogen peroxide	agua oxigenada
petroleum bitumen	betún de petróleo
micromole	micromol
extractive distillation	destilación extractiva
gas chromatograph-tandem mass spectrometry	cromatografía de gases-espectrometría de masas
azo pigment	pigmento azoico
poly vinyl butyral	PVB
recrystallisation	recristalización
suspended solids	sustancia en suspensión
hydrogen bromide	bromuro de hidrógeno
volatile fatty acid	ácido graso volátil
retention time	tiempo de retención
terpene	terpeno
glycol	glicol
eluate	eluato
technical grade	calidad técnica
malic acid(COOH.CH2.CHOH.COOH)	ácido málico
mechanical separator	separador
calibration standard	patrón de calibración
ingoing substance	sustancia entrante
mercaptan	mercaptano
racemate	racemato
mist filter	separador de gotas
spontaneous ignition temperature	temperatura de inflamación espontánea
electrodialysis	electrodiálisis
addition polymerisation	polimerización por adición
PPA	auxiliar para la producción de polímeros
isotope-labelled compound	compuesto marcado isotópicamente
ADPR	ADP-ribosa
alkyl phenol ethoxylate	APEO
anodizing	anodización
iron pyrite	pirita
on dry substance	en sustancia seca
LB	límite inferior
basic state	estado básico
fragmentation	reacción de fragmentación
andalusite	andalucita
monazite	monacita
acetic acid	ácido acético
persistent, bioaccumulative and toxic	PBT
distillation column	columna de destilación
supercritical CO2 extraction	extracción mediante CO2 supercrítico
flat flame burner	quemador de llama plana
digestion	digestión
receptor-ligand binding assay	análisis de fijación a receptores
